"","first_last_court","first.name","last.name","first_last_court_eval.year","eval.year","court","pap","gender","asian","black","hispanic","white","judjis_score"
"580","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 1998",1998,"Eleventh Circuit",0,1,0,0,0,1,0.0952380952380952
"583","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 2001",2001,"Eleventh Circuit",0,1,0,0,0,1,0.425925925888889
"585","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 2004",2004,"Eleventh Circuit",0,1,0,0,0,1,-0.0952380952380952
"587","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 2007",2007,"Eleventh Circuit",0,1,0,0,0,1,0.104166666666667
"588","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 2012",2012,"Eleventh Circuit",0,1,0,0,0,1,0.121212121212121
"589","R. Anderson, III (11)","R.","Anderson, III","R. Anderson, III (11) 2017",2017,"Eleventh Circuit",0,1,0,0,0,1,0.266666666666667
"1138","Glenn Archer, Jr. (Fed)","Glenn","Archer, Jr.","Glenn Archer, Jr. (Fed) 1995",1995,"Federal Circuit",1,1,0,0,0,1,0.444444444444444
"1145","Glenn Archer, Jr. (Fed)","Glenn","Archer, Jr.","Glenn Archer, Jr. (Fed) 1999",1999,"Federal Circuit",1,1,0,0,0,1,0.666666666666667
"1152","Glenn Archer, Jr. (Fed)","Glenn","Archer, Jr.","Glenn Archer, Jr. (Fed) 2003",2003,"Federal Circuit",1,1,0,0,0,1,0.0444444444666667
"994","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 1997",1997,"Eighth Circuit",1,1,0,0,0,1,0.0666666666666667
"1007","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 2001",2001,"Eighth Circuit",1,1,0,0,0,1,0.344444444433333
"1013","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 2004",2004,"Eighth Circuit",1,1,0,0,0,1,0
"1021","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 2005",2005,"Eighth Circuit",1,1,0,0,0,1,0.141269841261905
"1029","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 2008",2008,"Eighth Circuit",1,1,0,0,0,1,0.0416666666666667
"1040","Morris Arnold (8)","Morris","Arnold","Morris Arnold (8) 2012",2012,"Eighth Circuit",1,1,0,0,0,1,0.111111111111111
"538","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 1990",1990,"Eighth Circuit",0,1,0,0,0,1,0
"541","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 1992",1992,"Eighth Circuit",0,1,0,0,0,1,0
"546","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 1993",1993,"Eighth Circuit",0,1,0,0,0,1,-0.416666666666667
"551","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 1997",1997,"Eighth Circuit",0,1,0,0,0,1,-0.0476190476190476
"556","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 2001",2001,"Eighth Circuit",0,1,0,0,0,1,-0.208333333333333
"557","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 2004",2004,"Eighth Circuit",0,1,0,0,0,1,-0.238095238095238
"562","Richard Arnold (8)","Richard","Arnold","Richard Arnold (8) 2005",2005,"Eighth Circuit",0,1,0,0,0,1,-0.460317460285714
