justice,justiceName,Name,Start,End,
80,FFrankfurter,Felix Frankfurter,1939-01-30,1962-08-28,https://api.oyez.org/sites/default/files/images/people/felix_frankfurter/felix_frankfurter.thumb.png
81,WODouglas,William O. Douglas,1939-04-17,1975-11-12,https://api.oyez.org/sites/default/files/images/people/william_o_douglas/william_o_douglas.thumb.png
82,FMurphy,Frank Murphy,1940-02-05,1949-07-19,https://api.oyez.org/sites/default/files/images/people/frank_murphy/frank_murphy.thumb.png
83,JFByrnes,James F. Byrnes,1941-07-08,1942-10-03,https://api.oyez.org/sites/default/files/images/people/james_f_byrnes/james_f_byrnes.thumb.png
84,RHJackson,Robert H. Jackson,1941-07-11,1954-10-09,https://api.oyez.org/sites/default/files/images/people/robert_h_jackson/robert_h_jackson.thumb.png
85,WBRutledge,Wiley B. Rutledge,1943-02-15,1949-09-10,https://api.oyez.org/sites/default/files/images/people/wiley_b_rutledge/wiley_b_rutledge.thumb_1.png
86,HHBurton,Harold Burton,1945-10-01,1958-10-13,https://api.oyez.org/sites/default/files/images/people/harold_burton/harold_burton.thumb.png
87,FMVinson,Fred M. Vinson,1946-06-24,1953-09-08,https://api.oyez.org/sites/default/files/images/people/fred_m_vinson/fred_m_vinson.thumb.png
88,TCClark,Tom C. Clark,1949-08-24,1967-06-12,https://api.oyez.org/sites/default/files/images/people/tom_c_clark/tom_c_clark.thumb.png
89,SMinton,Sherman Minton,1949-10-12,1956-10-15,https://api.oyez.org/sites/default/files/images/people/sherman_minton/sherman_minton.thumb.png
90,EWarren,Earl Warren,1953-10-05,1969-06-23,https://api.oyez.org/sites/default/files/images/people/earl_warren/earl_warren.thumb.png
91,JHarlan2,John M. Harlan II,1955-03-28,1971-09-23,https://api.oyez.org/sites/default/files/images/people/john_m_harlan2/john_m_harlan2.thumb.png
92,WJBrennan,"William J. Brennan, Jr.",1956-10-16,1990-07-20,https://api.oyez.org/sites/default/files/images/people/william_j_brennan_jr/william_j_brennan_jr.thumb.png
93,CEWhittaker,Charles E. Whittaker,1957-03-25,1962-03-31,https://api.oyez.org/sites/default/files/images/people/charles_e_whittaker/charles_e_whittaker.thumb.png
94,PStewart,Potter Stewart,1958-10-14,1981-07-03,https://api.oyez.org/sites/default/files/images/people/potter_stewart/potter_stewart.thumb.png
95,BRWhite,Byron R. White,1962-04-16,1993-06-28,https://api.oyez.org/sites/default/files/images/people/byron_r_white/byron_r_white.thumb.png
96,AJGoldberg,Arthur J. Goldberg,1962-10-01,1965-07-25,https://api.oyez.org/sites/default/files/images/people/arthur_j_goldberg/arthur_j_goldberg.thumb.png
97,AFortas,Abe Fortas,1965-10-04,1969-05-14,https://api.oyez.org/sites/default/files/images/people/abe_fortas/abe_fortas.thumb.png
98,TMarshall,Thurgood Marshall,1967-10-02,1991-10-01,https://api.oyez.org/sites/default/files/images/people/thurgood_marshall/thurgood_marshall.thumb.png
99,WEBurger,Warren E. Burger,1969-06-23,1986-09-26,https://api.oyez.org/sites/default/files/images/people/warren_e_burger/warren_e_burger.thumb.png
100,HABlackmun,Harry A. Blackmun,1970-06-09,1994-08-03,https://api.oyez.org/sites/default/files/images/people/harry_a_blackmun/harry_a_blackmun.thumb.png
101,LFPowell,"Lewis F. Powell, Jr.",1972-01-07,1987-06-26,https://api.oyez.org/sites/default/files/images/people/lewis_f_powell_jr/lewis_f_powell_jr.thumb.png
102,WHRehnquist,William H. Rehnquist,1972-01-07,2005-09-03,https://api.oyez.org/sites/default/files/images/people/william_h_rehnquist/william_h_rehnquist.thumb.png
103,JPStevens,John Paul Stevens,1975-12-19,2010-06-29,https://api.oyez.org/sites/default/files/images/people/john_paul_stevens/john_paul_stevens.thumb.png
104,SDOConnor,Sandra Day O'Connor,1981-09-25,2006-01-31,https://api.oyez.org/sites/default/files/images/people/sandra_day_oconnor/sandra_day_oconnor.thumb.png
105,AScalia,Antonin Scalia,1986-09-26,2016-02-13,https://api.oyez.org/sites/default/files/images/people/antonin_scalia/antonin_scalia.thumb.png
106,AMKennedy,Anthony M. Kennedy,1988-02-18,2018-07-31,https://api.oyez.org/sites/default/files/images/people/anthony_m_kennedy/anthony_m_kennedy.thumb.png
107,DHSouter,David H. Souter,1990-10-09,2009-06-29,https://api.oyez.org/sites/default/files/images/people/david_h_souter/david_h_souter.thumb.png
108,CThomas,Clarence Thomas,1991-10-23,,https://api.oyez.org/sites/default/files/images/people/clarence_thomas/clarence_thomas.thumb.png
109,RBGinsburg,Ruth Bader Ginsburg,1993-08-10,2020-09-18,https://api.oyez.org/sites/default/files/images/people/ruth_bader_ginsburg/ruth_bader_ginsburg.thumb.png
110,SGBreyer,Stephen G. Breyer,1994-08-03,2022-06-30,https://api.oyez.org/sites/default/files/images/people/stephen_g_breyer/stephen_g_breyer.thumb.png
111,JGRoberts,"John G. Roberts, Jr.",2005-09-29,,https://api.oyez.org/sites/default/files/images/people/john_g_roberts_jr/john_g_roberts_jr.thumb.png
112,SAAlito,"Samuel A. Alito, Jr.",2006-01-31,,https://api.oyez.org/sites/default/files/images/people/samuel_alito_jr/samuel_alito_jr.thumb.png
113,SSotomayor,Sonia Sotomayor,2009-08-08,,https://api.oyez.org/sites/default/files/images/people/sonia_sotomayor/sonia_sotomayor.thumb.png
114,EKagan,Elena Kagan,2010-08-07,,https://api.oyez.org/sites/default/files/images/people/elena_kagan/elena_kagan.thumb.png
115,NMGorsuch,Neil Gorsuch,2017-04-08,,https://api.oyez.org/sites/default/files/filefield_paths/neil_gorsuch.thumb__0.png
116,BMKavanaugh,Brett M. Kavanaugh,2018-10-06,,https://api.oyez.org/sites/default/files/filefield_paths/Kavanaugh-thumb.png
117,ACBarrett,Amy Coney Barrett,2020-10-27,,https://api.oyez.org/sites/default/files/filefield_paths/barret-thumb.png
118,KBJackson,Ketanji Brown Jackson,2022-06-30,,https://api.oyez.org/sites/default/files/filefield_paths/thumbnail_ketanji_brown_jackson.png
